idImagen,clase,rutaCudaBin,rutaCudaNpy,rutaCudaPng,alto,ancho,mediaCuda,desviacionCuda,minimoCuda,maximoCuda,tiempoSegundos,estado,error
21,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_21_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_21_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_21_cuda.png",128,128,0.08495275676250458,0.09962522983551025,0.0,0.6740686297416687,0.09455469998647459,ok,
22,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_22_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_22_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_22_cuda.png",128,128,0.10031495988368988,0.10928560793399811,0.0,0.7699203491210938,0.10864720000245143,ok,
23,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_23_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_23_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_23_cuda.png",128,128,0.09709379076957703,0.11098838597536087,0.0,0.7056168913841248,0.12288029999763239,ok,
24,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_24_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_24_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_24_cuda.png",128,128,0.09920637309551239,0.11298128217458725,0.0,0.6888760924339294,0.10848899999109562,ok,
25,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_25_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_25_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_25_cuda.png",128,128,0.08973417431116104,0.10917358845472336,0.0,0.8146498203277588,0.09230880001268815,ok,
26,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_26_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_26_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_26_cuda.png",128,128,0.08205987513065338,0.08587025851011276,0.0,0.5118952989578247,0.09690269999555312,ok,
27,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_27_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_27_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_27_cuda.png",128,128,0.08650675415992737,0.08113698661327362,0.0,0.4884273111820221,0.13698980001208838,ok,
28,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_28_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_28_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_28_cuda.png",128,128,0.09131809324026108,0.09246956557035446,0.0,0.642344057559967,0.11001389999000821,ok,
29,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_29_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_29_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_29_cuda.png",128,128,0.11042224615812302,0.1149890199303627,0.0,0.8150262832641602,0.11828919999243226,ok,
30,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_30_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_30_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_30_cuda.png",128,128,0.09137633442878723,0.09866581857204437,0.0,0.5828467607498169,0.10406389999843668,ok,
31,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_31_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_31_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_31_cuda.png",128,128,0.08318871259689331,0.07972945272922516,0.0,0.5351526141166687,0.09879359998740256,ok,
32,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_32_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_32_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_32_cuda.png",128,128,0.0945303738117218,0.10129792988300323,0.0,0.7183467149734497,0.07946580000862014,ok,
33,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_33_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_33_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_33_cuda.png",128,128,0.0932028740644455,0.09342043101787567,0.0,0.5083684921264648,0.10444669998832978,ok,
34,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_34_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_34_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_34_cuda.png",128,128,0.10193339735269547,0.10716469585895538,0.0,0.777288019657135,0.08825719999731518,ok,
35,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_35_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_35_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_35_cuda.png",128,128,0.08902037143707275,0.09262394160032272,0.0,0.6667731404304504,0.09629670000867918,ok,
36,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_36_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_36_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_36_cuda.png",128,128,0.08712518215179443,0.11534637212753296,0.0,0.7456449866294861,0.10600970000086818,ok,
37,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_37_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_37_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_37_cuda.png",128,128,0.07870841026306152,0.08440180867910385,0.0,0.5312124490737915,0.11141610000049695,ok,
38,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_38_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_38_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_38_cuda.png",128,128,0.09213972836732864,0.09855426847934723,0.0,0.704616367816925,0.11251659999834374,ok,
39,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_39_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_39_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_39_cuda.png",128,128,0.08589893579483032,0.08828255534172058,0.0,0.5986217260360718,0.11099329999706242,ok,
40,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_40_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_40_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_40_cuda.png",128,128,0.08548828959465027,0.08622491359710693,0.0,0.5845327973365784,0.1104168000019854,ok,
41,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_41_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_41_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_41_cuda.png",128,128,0.09553425759077072,0.11199156194925308,0.0,0.8934012651443481,0.09567270000115968,ok,
42,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_42_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_42_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_42_cuda.png",128,128,0.10205084830522537,0.11680151522159576,0.0,0.6799585819244385,0.15982020000228658,ok,
