idImagen,clase,rutaOriginal,rutaNpy,rutaRaw,altoOriginal,anchoOriginal,canalesOriginales,pixelesOriginales,tamanoOriginalBytes,altoResize,anchoResize,pixelesResize,tamanoResizeBytes,relacionPixelesResize,media,desviacion,minimo,maximo,mediana,percentil25,percentil75,tiempoSegundos,indiceChunk,estado,error,procesosUsados,cantidadChunks,tamanoChunk,tiempoGlobalSegundos
577,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (152).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_577.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_577_raw.bin,256,256,3,65536,17836,512,512,262144,262144,4.0,0.5514232516288757,0.1628631204366684,0.05882352963089943,1.0,0.5372549295425415,0.4274509847164154,0.6313725709915161,0.10107070000958629,1,ok,,8,8,500,199.2215750000032
578,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (153).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_578.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_578_raw.bin,256,256,3,65536,18815,512,512,262144,262144,4.0,0.5614079236984253,0.14854933321475983,0.12941177189350128,0.9921568632125854,0.5568627715110779,0.45490196347236633,0.658823549747467,0.03215799998724833,1,ok,,8,8,500,199.2215750000032
579,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (154).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_579.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_579_raw.bin,256,256,3,65536,18017,512,512,262144,262144,4.0,0.48410648107528687,0.15592220425605774,0.03921568766236305,0.9921568632125854,0.46666666865348816,0.3607843220233917,0.5882353186607361,0.07951700000558048,1,ok,,8,8,500,199.2215750000032
580,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (155).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_580.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_580_raw.bin,256,256,3,65536,16431,512,512,262144,262144,4.0,0.5059242248535156,0.16454091668128967,0.10588235408067703,0.9921568632125854,0.46666666865348816,0.37254902720451355,0.658823549747467,0.17014200001722202,1,ok,,8,8,500,199.2215750000032
581,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (156).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_581.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_581_raw.bin,256,256,3,65536,16084,512,512,262144,262144,4.0,0.5206789970397949,0.13814705610275269,0.07058823853731155,0.9921568632125854,0.5254902243614197,0.4117647111415863,0.6235294342041016,0.11551040000631474,1,ok,,8,8,500,199.2215750000032
582,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (157).jpg,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_582.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_582_raw.bin,256,256,3,65536,9496,512,512,262144,262144,4.0,0.4246884286403656,0.10345631092786789,0.16078431904315948,0.9882352948188782,0.40392157435417175,0.3450980484485626,0.4941176474094391,0.035499999998137355,1,ok,,8,8,500,199.2215750000032
583,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (158).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_583.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_583_raw.bin,256,256,3,65536,15371,512,512,262144,262144,4.0,0.6077110171318054,0.13515600562095642,0.1411764770746231,1.0,0.6000000238418579,0.5254902243614197,0.6941176652908325,0.10656270000617951,1,ok,,8,8,500,199.2215750000032
584,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (159).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_584.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_584_raw.bin,256,256,3,65536,19407,512,512,262144,262144,4.0,0.6537680625915527,0.22264757752418518,0.019607843831181526,1.0,0.6823529601097107,0.48235294222831726,0.8470588326454163,0.034656699979677796,1,ok,,8,8,500,199.2215750000032
585,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (160).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_585.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_585_raw.bin,256,256,3,65536,13369,512,512,262144,262144,4.0,0.5621383786201477,0.10817635804414749,0.1568627506494522,0.9843137264251709,0.5607843399047852,0.501960813999176,0.6196078658103943,0.0380445999908261,1,ok,,8,8,500,199.2215750000032
586,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (161).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_586.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_586_raw.bin,256,256,3,65536,17555,512,512,262144,262144,4.0,0.559121310710907,0.18747545778751373,0.05098039284348488,0.9921568632125854,0.5490196347236633,0.40392157435417175,0.729411780834198,0.08612690001609735,1,ok,,8,8,500,199.2215750000032
587,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (162).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_587.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_587_raw.bin,256,256,3,65536,15889,512,512,262144,262144,4.0,0.6636791825294495,0.18652726709842682,0.10980392247438431,0.9960784316062927,0.6901960968971252,0.5333333611488342,0.8156862854957581,0.05902680000872351,1,ok,,8,8,500,199.2215750000032
588,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (163).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_588.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_588_raw.bin,256,256,3,65536,22167,512,512,262144,262144,4.0,0.5847146511077881,0.20258358120918274,0.0117647061124444,1.0,0.6196078658103943,0.4313725531101227,0.7215686440467834,0.0952574000111781,1,ok,,8,8,500,199.2215750000032
