idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,hilosX,hilosY,filtro,estado,error
80,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_80_raw.bin,salidas/cudaBin/Bercak Daun/imagen_80_cuda.bin,512,512,0.040864,0.00251965,16,16,enfoque,ok,
81,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_81_raw.bin,salidas/cudaBin/Bercak Daun/imagen_81_cuda.bin,512,512,0.041728,0.00240448,16,16,enfoque,ok,
82,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_82_raw.bin,salidas/cudaBin/Bercak Daun/imagen_82_cuda.bin,512,512,0.03504,0.00235469,16,16,enfoque,ok,
83,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_83_raw.bin,salidas/cudaBin/Bercak Daun/imagen_83_cuda.bin,512,512,0.039968,0.00220804,16,16,enfoque,ok,
84,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_84_raw.bin,salidas/cudaBin/Bercak Daun/imagen_84_cuda.bin,512,512,0.040096,0.00232478,16,16,enfoque,ok,
85,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_85_raw.bin,salidas/cudaBin/Bercak Daun/imagen_85_cuda.bin,512,512,0.062752,0.0023182,16,16,enfoque,ok,
86,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_86_raw.bin,salidas/cudaBin/Bercak Daun/imagen_86_cuda.bin,512,512,0.034368,0.00225633,16,16,enfoque,ok,
87,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_87_raw.bin,salidas/cudaBin/Bercak Daun/imagen_87_cuda.bin,512,512,0.039264,0.00231023,16,16,enfoque,ok,
88,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_88_raw.bin,salidas/cudaBin/Bercak Daun/imagen_88_cuda.bin,512,512,0.041152,0.0023387,16,16,enfoque,ok,
89,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_89_raw.bin,salidas/cudaBin/Bercak Daun/imagen_89_cuda.bin,512,512,0.039648,0.00234225,16,16,enfoque,ok,
90,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_90_raw.bin,salidas/cudaBin/Bercak Daun/imagen_90_cuda.bin,512,512,0.04,0.00248669,16,16,enfoque,ok,
91,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_91_raw.bin,salidas/cudaBin/Bercak Daun/imagen_91_cuda.bin,512,512,0.04112,0.0022436,16,16,enfoque,ok,
92,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_92_raw.bin,salidas/cudaBin/Bercak Daun/imagen_92_cuda.bin,512,512,0.041984,0.002203,16,16,enfoque,ok,
93,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_93_raw.bin,salidas/cudaBin/Bercak Daun/imagen_93_cuda.bin,512,512,0.039808,0.00240981,16,16,enfoque,ok,
94,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_94_raw.bin,salidas/cudaBin/Bercak Daun/imagen_94_cuda.bin,512,512,0.054336,0.0022002,16,16,enfoque,ok,
95,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_95_raw.bin,salidas/cudaBin/Bercak Daun/imagen_95_cuda.bin,512,512,0.04672,0.00234338,16,16,enfoque,ok,
96,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_96_raw.bin,salidas/cudaBin/Bercak Daun/imagen_96_cuda.bin,512,512,0.034528,0.00226378,16,16,enfoque,ok,
97,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_97_raw.bin,salidas/cudaBin/Bercak Daun/imagen_97_cuda.bin,512,512,0.03888,0.0022562,16,16,enfoque,ok,
98,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_98_raw.bin,salidas/cudaBin/Bercak Daun/imagen_98_cuda.bin,512,512,0.0344,0.00234179,16,16,enfoque,ok,
99,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_99_raw.bin,salidas/cudaBin/Bercak Daun/imagen_99_cuda.bin,512,512,0.040512,0.00235476,16,16,enfoque,ok,
100,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_100_raw.bin,salidas/cudaBin/Bercak Daun/imagen_100_cuda.bin,512,512,0.039712,0.00228293,16,16,enfoque,ok,
101,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_101_raw.bin,salidas/cudaBin/Bercak Daun/imagen_101_cuda.bin,512,512,0.03952,0.00229743,16,16,enfoque,ok,
102,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_102_raw.bin,salidas/cudaBin/Bercak Daun/imagen_102_cuda.bin,512,512,0.040032,0.00219555,16,16,enfoque,ok,
